,反油酸乙酯,己酸-2-苯乙酯,己酸,亚油酸乙酯,2-甲基-2-苯乙酯丙酸,9-十六碳烯酸乙酯,"2,6-二叔丁基-4-甲基苯酚",十一醇,十二酸乙酯,十五酸乙酯,十六酸乙酯,十四酸乙酯,"2,4-二叔丁基苯酚",异丁醛,Group
s1t0,0,0,0,0,0,0,0,6.733919937,7.686409535,0,0,0,6.870452941,6.973200105,0
s2t0,0,0,6.221148494,0,0,0,0,6.667087814,6.260602735,0,0,0,7.168708425,6.180301844,0
s3t0,0,0,8.320209136,0,0,0,0,6.611126867,0,0,0,0,0,6.831864666,0
s4t0,0,0,0,0,0,0,0,0,7.608394624,0,0,0,7.324084082,6.940843763,0
s5t0,0,0,7.071933052,0,0,0,0,0,7.251943941,0,0,0,6.80949811,6.875230943,0
s6t0,0,0,7.122371678,0,0,0,0,7.722245968,7.250107312,0,0,0,6.854674952,6.832759105,0
s7t0,0,0,8.654580978,0,0,0,0,0,7.855880311,0,0,0,7.232402627,6.831864666,0
s1t2,0,0,0,0,0,0,6.901082856,0,7.985593298,0,0,7.662683101,0,0,2
s2t2,0,0,0,0,0,0,6.737149871,0,7.942586134,0,0,7.479091213,0,0,2
s3t2,0,0,0,0,0,0,7.143654292,0,8.402172122,0,0,7.954757276,0,0,2
s4t2,0,0,0,0,0,0,6.754013323,0,7.758548895,0,0,7.444350203,0,0,2
s5t2,0,0,0,0,0,0,6.7910222,0,8.072122687,0,0,7.548951626,0,0,2
s6t2,0,0,0,0,0,0,6.901082856,0,8.067240764,0,0,7.643549112,0,0,2
s7t2,0,0,0,0,0,0,6.933462885,0,8.214205089,0,0,7.685600803,0,0,2
s1t4,0,7.056735609,0,0,0,6.840742489,6.826234712,0,8.41785407,7.078920572,8.674813323,8.045605594,7.510067255,6.597967394,4
s2t4,0,7.220175441,0,7.80273232,0,7.258336059,6.849350606,0,8.455118687,7.012274628,8.379684345,7.942943859,7.48356928,6.49257485,4
