,反油酸乙酯,乙酸辛酯,2-甲基-2-苯乙酯丙酸,己酸-2-苯乙酯,异丁醛,己酸,亚油酸乙酯,"2,6-二叔丁基-4-甲基苯酚",植物酮,2-十五烷酮,9-十六碳烯酸乙酯,3-甲基丁酸辛酯,(3Z)-3-癸烯-1-醇乙酸酯,己酸异戊酯,十一醇,庚酸,乙酸正丙酯,乙醛,L(-)-乳酸乙酯,丁酸,丁二酸二乙酯,1-亚甲基-1H-茚,苯丙酸乙酯,辛酸,乙酸2-苯乙酯,3-己烯酸乙酯,对甲酚,己酸糠酯,十五酸乙酯,"2,4-二叔丁基苯酚",糠醛,十六酸乙酯,醋酸,辛酸辛酯,苯乙醛，二乙基乙醛,己醛,S-甲基丁酸酯,辛酸己酯,辛酸丁酯,十四酸乙酯,Group
s1t0,0,0,0,0,6.973200105,0,0,0,0,0,0,0,0,7.247947475,6.733919937,0,7.700197424,7.003992815,0,0,7.063628019,0,7.115180569,0,7.518370311,0,0,0,0,6.870452941,8.342659771,0,0,0,7.318730435,0,0,0,0,0,0
s2t0,0,0,0,0,6.180301844,6.221148494,0,0,0,0,0,0,0,6.269547577,6.667087814,0,6.630256924,6.77640911,0,0,7.475372503,0,6.162999648,0,6.908841107,0,0,0,0,7.168708425,7.132989827,0,0,0,6.246156631,0,0,0,0,0,0
s3t0,0,0,0,0,6.831864666,8.320209136,0,0,0,0,0,0,0,8.422233809,6.611126867,0,6.617204466,6.666311465,0,0,7.130614115,0,7.517041001,0,6.654906167,0,0,0,0,0,6.985425397,0,0,0,6.733653896,0,0,0,0,0,0
s4t0,0,0,0,0,6.940843763,0,0,0,0,0,0,0,0,7.916454187,0,0,7.546995075,7.107354527,0,0,6.963817583,0,7.223013845,0,7.571333527,0,0,0,0,7.324084082,8.302461091,0,0,0,7.599090664,0,0,0,0,0,0
s5t0,0,0,0,0,6.875230943,7.071933052,0,0,0,0,0,0,0,7.167742614,0,0,7.506604058,7.049363361,0,0,6.915436797,0,7.205937666,0,7.580336049,0,0,0,0,6.80949811,8.289623238,0,0,0,7.106645421,0,0,0,0,0,0
s6t0,0,0,0,0,6.832759105,7.122371678,0,0,0,0,0,0,0,7.300991875,7.722245968,0,7.501300191,6.984486663,0,0,6.937265063,0,7.240744503,0,7.594391004,0,0,0,0,6.854674952,8.269054022,0,0,0,7.464934867,0,0,0,0,0,0
s7t0,0,0,0,0,6.831864666,8.654580978,0,0,0,0,0,0,0,8.874319585,0,0,7.419441821,6.957154101,0,0,7.130614115,0,7.612318391,0,7.426590754,0,0,0,0,7.232402627,7.444868405,0,0,0,7.120016823,0,0,0,0,0,0
s1t2,0,7.204803766,0,0,0,0,0,6.901082856,0,0,0,6.973420246,0,9.210353476,0,0,0,0,0,0,0,7.151714161,7.685334762,0,0,0,0,7.221873987,0,0,6.781105706,0,0,0,7.432446741,0,0,8.202063572,8.243492232,7.662683101,2
s2t2,0,7.338014452,0,0,0,0,0,6.737149871,0,0,0,6.895176195,0,9.123671883,0,0,0,0,0,0,0,7.071262957,7.527061617,0,0,0,0,7.177492882,0,0,7.000144277,0,0,0,7.393171782,0,0,8.169667653,8.200756501,7.479091213,2
s3t2,0,7.003801209,0,0,0,0,0,7.143654292,0,0,0,7.024090369,0,9.060386939,0,0,0,0,0,0,0,7.042702544,7.997307561,0,0,0,0,7.409015555,0,0,7.776407707,0,0,0,7.783744735,0,0,8.363155417,8.086216817,7.954757276,2
s4t2,0,7.07518858,0,0,0,0,0,6.754013323,0,0,0,7.174891005,0,9.250798283,0,0,0,0,0,0,0,6.772496941,7.595867584,0,0,0,0,7.151733238,0,0,7.00192346,0,0,0,7.021239011,0,0,8.661447851,8.400954322,7.444350203,2
s5t2,0,7.150249525,0,0,0,0,0,6.7910222,0,0,0,6.995264647,0,9.159849386,0,0,0,0,0,0,0,7.031311028,7.492068238,0,0,0,0,7.123577821,0,0,6.843456581,0,0,0,7.099959459,0,0,8.210639161,8.206870286,7.548951626,2
s6t2,0,7.345083552,0,0,0,0,0,6.901082856,0,0,0,6.963697073,0,9.214876917,0,0,0,0,0,0,0,7.000365701,7.558861085,0,0,0,0,7.104023573,0,0,6.848907775,0,0,0,7.237919438,0,0,8.139723227,8.196678962,7.643549112,2
s7t2,0,7.207544231,0,0,0,0,0,6.933462885,0,0,0,6.945146049,0,9.18237593,0,0,0,0,0,0,0,7.079192577,7.707507543,0,0,0,0,7.272012996,0,0,7.304995508,0,0,0,7.562476685,0,0,8.196523345,8.145798778,7.685600803,2
s1t4,0,6.816926596,0,7.056735609,6.597967394,0,0,6.826234712,6.664210867,6.807139121,6.840742489,7.09681131,6.74723107,8.910509964,0,0,6.305235838,0,7.581783792,0,0,0,7.651593821,7.24699335,6.781931298,6.704877508,6.762064313,7.720658102,7.078920572,7.510067255,7.536834054,8.674813323,0,7.216942795,7.368473922,6.850986249,0,8.584967851,8.069467654,8.045605594,4
s2t4,0,6.924932524,0,7.220175441,6.49257485,0,7.80273232,6.849350606,6.732385545,6.899513387,7.258336059,7.1587372,7.002534174,8.970069248,0,0,6.253103897,0,7.621190422,0,0,0,7.660570192,7.401367045,6.819942897,6.870353932,6.723168604,7.774506827,7.012274628,7.48356928,7.586171014,8.379684345,0,7.208175478,7.450872582,6.936060724,0,8.666997965,8.192388528,7.942943859,4
s3t4,0,6.82149167,0,7.280786961,6.634200245,0,7.68823109,6.959779238,6.83500239,7.021364101,7.389546101,6.998426828,7.298708824,8.946935606,0,0,6.312939301,0,7.849092733,0,0,0,7.961495809,7.364756483,6.961915159,6.559759479,6.750791769,7.740242086,7.187108322,6.964465248,8.124472481,8.75837667,0,6.73889954,7.671766193,7.053275377,0,8.348245637,8.012873502,8.149246209,4
s4t4,0,7.090551637,0,7.56957786,6.777282486,0,6.591538314,7.019483208,6.194240406,0,6.505088428,7.257913288,6.591538314,9.344177956,0,0,6.69725222,0,7.502682637,0,0,0,7.727945854,8.061285169,6.666432271,6.846453851,7.223923511,7.577330995,6.86257945,6.651984496,7.010747104,8.324411726,0,7.100316442,7.230904631,7.136477316,0,8.772894194,8.488188728,7.604205411,4
s5t4,0,6.676822046,0,7.164749129,6.631190766,0,0,7.099833928,6.678684646,6.819518095,7.235501083,7.03533621,6.819594469,8.657528469,0,0,6.38991645,0,7.541099264,0,0,0,7.632708845,7.253460738,6.758649228,6.58441528,6.694286915,7.620549839,7.097689288,7.306075642,7.390890728,8.620835351,0,7.215445156,7.355717445,6.730574251,0,8.549225755,7.936901621,8.07386633,4
s6t4,0,7.006257617,0,7.293928307,6.470879648,0,7.64667905,6.864845988,6.742880832,6.932000941,6.845817521,7.105580199,6.983705322,9.104407393,0,0,6.261733091,0,7.522941919,0,0,0,7.636296681,7.21860195,6.682129034,6.664370761,6.615425726,7.62072705,7.315298335,6.992987678,7.346546326,8.722882024,0,7.199887283,7.353221279,6.806336026,0,8.515864304,8.175398495,8.125322674,4
s7t4,0,6.89797375,0,7.281970142,6.727658,0,6.499308331,7.023358397,6.714067276,7.03791048,7.441824942,7.002405871,7.195250204,9.030351966,0,0,6.312194434,0,7.569012078,0,0,0,7.741645123,7.302613121,0,6.686304453,6.57668308,7.558736825,7.172374415,7.006268802,7.717451926,8.720118855,0,6.717002456,7.52841717,7.034316382,0,8.468660743,8.060026059,8.13560539,4
s1t6,0,0,6.770912028,7.071943314,6.474416596,8.177749558,0,6.643366319,6.66331623,6.710501234,6.876517189,6.832757656,6.740824553,8.385307725,0,6.734695517,0,7.003677369,7.637888558,7.392979467,6.52938629,0,7.582385344,0,6.666565776,6.555666872,6.551665122,7.221143619,6.929954881,7.087803512,7.105063608,8.137785431,0,6.769400441,7.174519223,6.489834001,6.197797887,8.328251955,7.704604933,7.780362935,6
s2t6,0,0,6.711171053,7.000446939,6.533688084,8.216596602,0,6.591852171,6.288658214,6.7947553,6.980065344,6.87079824,6.86428164,8.439694573,0,0,0,7.083088938,7.625000541,7.40177821,6.556632685,0,7.566218931,0,6.596548876,6.7814968,6.474870198,7.26203701,6.974299437,6.956014318,7.19613751,8.157561579,0,6.902821606,7.234617752,6.671800465,6.061385818,8.426257792,7.808562054,7.856008373,6
s3t6,0,0,6.797537853,7.123800667,6.576849981,8.263817441,0,6.647655053,6.581456949,6.896804422,6.992401782,6.871386432,7.130493172,8.800937867,0,0,0,7.133253909,7.819271089,7.358154146,6.723563078,0,7.822421381,0,6.829265117,0,6.436333363,7.283612496,6.869524071,6.990559709,7.718776687,8.296426932,0,6.847897519,7.37472736,6.578655828,6.124226353,8.292784316,7.843721389,7.980113102,6
s4t6,0,0,6.611728612,6.821429134,6.749529752,8.69180289,0,6.560119051,6.524617146,6.776329574,6.696105467,6.613349692,0,8.704028406,0,7.423302063,0,7.130238826,7.711513588,7.672017416,6.218576012,0,7.438572991,0,6.487307153,0,6.978573559,7.044751345,6.906686652,6.926918254,6.647768955,7.992458137,0,6.482973461,6.938007757,6.871966605,7.443274151,8.163250979,7.73409396,7.342893194,6
s5t6,0,0,6.872257538,7.063932709,6.480447334,7.925862872,0,6.809947816,6.607371156,6.817688819,6.601172801,6.949870807,6.740547192,8.431893791,0,0,0,6.883983879,7.600190197,7.394770069,6.384485251,0,7.559589334,0,6.657396761,0,6.540553462,7.19569983,6.89964699,7.168373106,7.017509499,8.338733409,0,6.890932578,7.2849648,6.452946709,6.225658588,8.407231567,7.813060575,7.926297904,6
s6t6,0,0,6.742397566,6.967036689,6.525579853,7.887814671,0,6.891240142,6.402192773,6.644536813,6.539070404,6.824235395,6.716332846,8.539579123,0,0,0,6.8966123,7.589665942,7.283264413,6.619610933,0,7.557284516,0,6.587749885,6.561569886,6.455718908,7.120488276,6.707253224,7.073017375,7.026706784,8.16657497,0,6.661623919,7.281848896,6.470004204,6.146318946,8.186369187,7.801594147,7.759801304,6
s7t6,0,0,6.743354773,6.873779803,6.788777341,8.561368525,0,6.907384823,6.512258538,6.749197042,7.125619855,6.659894837,6.843521629,8.338913413,0,7.112434532,0,7.381339743,7.894981749,7.380218946,6.703198147,0,7.695365032,0,6.733768988,6.653505908,6.621928372,7.210147078,7.001092587,7.272074986,7.540726807,8.26155086,0,6.547728502,7.383091228,6.744596315,6.186900675,8.048980234,7.567516056,7.801077829,6
s1t9,0,7.338565662,6.722395637,7.231096644,0,8.321342378,0,0,6.631399814,6.889518148,7.482346688,6.968892829,6.888708597,0,0,0,0,0,7.530486914,7.183070623,0,7.149777231,7.611402513,0,6.657369016,6.560752039,6.54553889,7.285737797,7.041252081,7.415613231,7.372995263,8.571538481,0,6.771658486,7.142268511,6.434929688,6.388187832,8.516896776,8.032442486,8.069766772,9
s2t9,0,7.329415252,6.680812133,7.216950924,0,8.344053428,7.620061585,0,6.659617451,6.824466251,6.772385948,6.955416373,6.91030906,0,0,0,0,0,7.528370582,7.297855445,0,7.059398201,7.554015805,0,6.563338057,6.693040112,6.854265461,7.305211909,7.091248159,7.386112619,7.406376267,8.613101517,0,7.194318833,7.050940288,6.551908466,6.045200403,8.532714581,8.058673189,8.042372256,9
