,辛酸乙酯,丁酸乙酯,庚酸乙酯,己酸己酯,乙酸乙酯,己酸丁酯,戊酸乙酯,癸酸乙酯,己酸丙酯,己基丁酸酯,己酸戊酯,壬酸乙酯,十二酸乙酯,乙酸己酯,辛酸己酯,丁酸丁酯,己酸2-甲基丙酯,丁酸3-甲基丁酯,异戊醇,苯丙酸乙酯,异戊醛,正己醇,苯乙酸乙酯,3-甲基丁酸乙酯,苯乙醛，二乙基乙醛,4-甲基戊酸乙酯,辛酸丁酯,2-甲基丙酸乙酯,2-己烯酸乙酯,十四酸乙酯,丙酸乙酯,辛酸丙酯,2-甲基丁酸乙酯,十六酸乙酯,戊酸丁酯,辛酸3-甲基丁酯,十一烷酸乙酯,壬醛,戊酸3-甲基丁酯,庚酸3-甲基丁酯,丁酸辛酯,苯甲酸乙酯,己酸甲酯,己酸,"2,4-二叔丁基苯酚",丁酸庚酯,己酸1-甲基己基酯,乙酸丁酯,苯甲醛,二十一烷,1-丁醇,乙基(E)- 4 - 庚烯酸,2-甲基丁醛,2-壬酮,己酸异戊酯,己酸-2-苯乙酯,2-羟基-4-甲基戊酸乙酯,十五酸乙酯,植物酮,9-十六碳烯酸乙酯,反式-4-癸酸乙酯,L(-)-乳酸乙酯,己酸糠酯,2-十五烷酮,丁酸,十三酸乙酯,己醛,异丁醇,亚油酸乙酯,乙酸辛酯,反油酸乙酯,3-甲基丁酸辛酯,(Z)-己-3-烯酸乙酯,对甲酚,甲酸乙酯,糠醛,"2,6-二叔丁基-4-甲基苯酚",辛酸辛酯,异丁醛,3-己烯酸乙酯,乙酸2-苯乙酯,(Z)-4-癸烯酸乙酯,正辛酸异丁酯,庚酸,乙酸-3-甲基-1-丁醇,(3Z)-3-癸烯-1-醇乙酸酯,3-己烯酸乙酯.1,十一醇,1-亚甲基-1H-茚,乙酸正丙酯,乙醛,正丁酸戊酯,辛酸,乳酸乙酯,S-甲基丁酸酯,醋酸,2-甲基-2-苯乙酯丙酸,丁二酸二乙酯,Group
s1t0,8.971834164,8.580984274,8.527706421,6.74265835,9.163764048,7.235136853,8.304557657,7.978671886,7.854268689,6.968561972,0,7.732424397,7.686409535,7.25468691,0,7.224660194,7.688214939,7.353869157,8.357403555,7.115180569,8.008284717,7.713515856,8.342033711,8.448468537,7.318730435,7.553189065,0,8.156836311,0,0,8.310777656,6.999448877,8.033106127,0,6.942040417,0,0,7.359839775,6.756494213,0,0,7.380043195,0,0,6.870452941,0,0,0,7.623388845,7.247486404,7.237381938,0,7.439038379,7.541105027,7.247947475,0,7.536993183,0,0,0,7.523624259,0,0,0,0,0,0,7.406466647,0,0,0,0,0,0,0,8.342659771,0,0,6.973200105,0,7.518370311,0,0,0,8.039899226,0,0,6.733919937,0,7.700197424,7.003992815,0,0,0,0,0,0,7.063628019,0
s2t0,8.802796778,7.616477937,7.613572039,0,8.980279979,8.439022042,7.330466088,7.643859309,6.562913329,7.714570569,0,7.098439402,6.260602735,6.357502831,0,7.841668607,7.688214939,6.468156882,8.804496846,6.162999648,7.379645113,7.055916557,6.560207859,7.010001041,6.246156631,6.510425346,0,6.909411955,0,0,7.20600083,0,6.826734664,0,6.263202436,0,0,7.337929018,7.135954894,0,0,7.302991287,0,6.221148494,7.168708425,0,0,0,7.210567911,7.242395446,6.345306226,0,6.646771685,6.95060266,6.269547577,0,7.451096202,0,0,0,7.518011504,0,0,0,0,0,0,7.808399872,0,0,0,0,0,0,0,7.132989827,0,0,6.180301844,0,6.908841107,0,0,0,7.978463595,0,0,6.667087814,0,6.630256924,6.77640911,0,0,0,0,0,0,7.475372503,0
s3t0,9.2845213,8.887130263,9.044068594,8.271799035,8.814438636,8.802955312,8.769149642,7.809575432,8.243331566,8.217408149,7.942917789,7.79458504,0,7.552648082,0,8.482466187,7.732600177,7.740230744,8.137834648,7.517041001,7.273886585,7.958622014,7.091853526,6.738614588,6.733653896,7.211324237,0,7.116764944,0,0,7.062233526,6.846080712,6.699286976,0,7.872022951,0,0,7.390393931,7.256242605,0,0,6.856640045,0,8.320209136,0,0,0,0,6.773053128,6.868740781,7.709485179,0,6.630890057,7.196886189,8.422233809,0,7.117150704,0,0,0,6.476961611,0,0,0,0,0,0,7.192318694,0,0,0,0,0,0,0,6.985425397,0,0,6.831864666,0,6.654906167,0,0,0,7.938816437,0,0,6.611126867,0,6.617204466,6.666311465,0,0,0,0,0,0,7.130614115,0
s4t0,9.238757335,8.798147101,8.809061804,7.421667557,9.164786052,7.758038588,8.548163458,8.476847273,8.13088061,7.44541409,7.296897369,8.267042078,7.608394624,7.239066027,0,7.357233882,7.527270541,7.625506524,8.278287835,7.223013845,7.989946939,7.62783314,8.28602756,8.589089204,7.599090664,7.611588053,0,8.321539712,0,0,8.349970688,7.127505576,8.150677374,0,7.103400349,0,0,7.484062803,7.316944376,0,0,7.458340835,0,0,7.324084082,0,0,0,7.677235807,7.59753117,7.11925198,0,7.423678129,7.594351939,7.916454187,0,7.469778437,0,0,0,7.979263892,0,0,0,0,0,0,7.26436542,0,0,0,0,0,0,0,8.302461091,0,0,6.940843763,0,7.571333527,0,0,0,8.01687724,0,0,0,0,7.546995075,7.107354527,0,0,0,0,0,0,6.963817583,0
s5t0,8.741959172,8.75807142,8.60206828,0,9.124683112,7.319557914,8.506716934,7.561539034,7.941614805,6.997911879,0,7.389194476,7.251943941,7.137927739,0,7.283864578,7.198415487,7.455861108,8.256162217,7.205937666,7.933106873,7.636179575,8.27351099,8.529991614,7.106645421,7.524370882,0,8.265757419,0,0,8.318619082,0,8.115917502,0,7.001816549,0,0,7.342499509,6.899071249,0,0,7.431646692,0,7.071933052,6.80949811,0,0,0,7.690248939,7.181675212,7.178744374,0,7.370804849,7.510154449,7.167742614,0,7.417597385,0,0,0,7.115895089,0,0,0,0,0,0,7.324702868,0,0,0,0,0,0,0,8.289623238,0,0,6.875230943,0,7.580336049,0,0,0,7.965553448,0,0,0,0,7.506604058,7.049363361,0,0,0,0,0,0,6.915436797,0
s6t0,8.8016079,8.725065616,8.566937495,0,9.100203297,7.34990384,8.456202114,7.697877184,7.899802939,7.046553204,0,7.553382585,7.250107312,7.080821706,0,7.222172974,7.135026843,7.372303576,8.243955009,7.240744503,7.916903023,7.616993818,8.296435853,8.469703395,7.464934867,7.477764056,0,8.225749559,0,0,8.292134572,0,8.034873871,0,6.978633063,0,0,7.303563851,6.877475698,0,0,7.433871517,0,7.122371678,6.854674952,0,0,0,7.661490692,7.217015805,7.145835971,0,7.356699279,7.500780771,7.300991875,0,7.402261305,0,0,0,7.301542996,0,0,0,0,0,0,7.288176625,0,0,0,0,0,0,0,8.269054022,0,0,6.832759105,0,7.594391004,0,0,0,7.925926828,0,0,7.722245968,0,7.501300191,6.984486663,0,0,0,0,0,0,6.937265063,0
s7t0,9.609202799,8.795417507,9.383397499,9.070924489,8.645031195,8.952226312,8.861290296,7.950601355,8.488157562,7.943139078,8.184450756,7.683904049,7.855880311,7.888709786,0,7.574486948,8.102945336,7.59391831,7.956578121,7.612318391,7.63283512,8.186143595,7.552037333,7.612929633,7.120016823,7.649216849,0,7.315711463,0,0,7.431533059,0,7.199130319,0,7.528429715,0,0,7.383444739,7.344239293,0,0,7.118382661,0,8.654580978,7.232402627,0,0,0,7.216434475,6.930009387,7.358399629,0,6.980733226,7.270454289,8.874319585,0,6.883817137,0,0,0,7.518011504,0,0,0,0,0,0,6.926261565,0,0,0,0,0,0,0,7.444868405,0,0,6.831864666,0,7.426590754,0,0,0,7.552849035,0,0,0,0,7.419441821,6.957154101,0,0,0,0,0,0,7.130614115,0
s1t2,9.90081504,9.517032103,9.613345297,9.981187817,9.068743,9.449179564,8.893048484,8.867339653,8.59969451,8.871066711,9.039541358,8.475643551,7.985593298,7.904421162,8.202063572,7.927785404,8.068489482,7.829692798,7.238953629,7.685334762,7.651345339,7.634620658,7.37975755,7.440517811,7.432446741,7.284163764,8.243492232,6.895603649,7.925810506,7.662683101,6.920991049,7.744858259,7.450267222,0,7.890216111,7.504944913,7.474431707,6.853478449,7.634132594,7.574879861,7.523331658,6.729824048,7.303537991,0,0,7.112006509,7.033229586,6.886884584,0,7.019920888,7.375334846,7.160441298,6.99866304,6.862105922,9.210353476,0,0,0,0,0,6.86519427,0,7.221873987,0,0,0,0,0,0,7.204803766,0,6.973420246,0,0,0,6.781105706,6.901082856,0,0,6.865329643,0,0,0,0,0,0,0,0,7.151714161,0,0,7.375334846,0,7.639917059,0,0,0,0,2
s2t2,9.85811294,9.467042793,9.577658537,9.903539006,8.999769668,9.429738922,8.866898028,8.759461871,8.574802698,8.806918727,8.979665447,8.434546007,7.942586134,7.862392892,8.169667653,7.860606024,7.990795911,7.711276137,7.21477393,7.527061617,7.456656042,7.643338012,7.278233007,7.233442554,7.393171782,7.266798044,8.200756501,6.988348536,7.994310567,7.479091213,6.839927959,7.692766185,6.943096162,0,7.875662179,7.505273744,7.401125247,6.916790534,7.50702778,7.455304288,7.54298355,6.730682934,7.138950199,0,0,7.37432467,7.319806303,6.852988208,6.80144932,7.266369188,6.810438809,7.18697829,6.79142216,7.13855642,9.123671883,0,0,0,0,0,6.826264061,0,7.177492882,0,0,0,0,0,0,7.338014452,0,6.895176195,0,0,0,7.000144277,6.737149871,0,0,7.241885308,0,0,0,0,0,0,0,0,7.071262957,0,0,7.260138807,0,7.668433118,0,0,0,0,2
s3t2,9.812908651,9.209925753,9.403135701,9.874995063,8.918731175,9.234566757,8.807084295,8.96568861,8.3849146,8.554983745,8.859760235,8.49506217,8.402172122,7.792027579,8.363155417,7.681725897,8.001945763,7.589895856,7.832597604,7.997307561,7.547047976,8.028426242,7.680204091,7.336111671,7.783744735,7.262514284,8.086216817,7.152500157,7.572730419,7.954757276,7.036372583,7.63761413,7.237473619,0,7.651164694,7.679091355,7.645456585,7.470621044,7.421986054,7.502238723,7.431167468,7.142892396,6.918236833,0,0,7.23712606,7.457337308,6.894578064,7.001604932,7.452564841,7.325178434,6.881298527,6.929421695,6.885693829,9.060386939,0,0,0,0,0,7.060091428,0,7.409015555,0,0,0,0,0,0,7.003801209,0,7.024090369,0,0,0,7.776407707,7.143654292,0,0,0,0,0,0,0,0,0,0,0,7.042702544,0,0,7.468840158,0,7.93524761,0,0,0,0,2
